artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Neon Trees,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,77,2012,alt-rock,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,4,1
Deftones,Rosemary,4FEr6dIdH6EqLKR0jB560J,71,2012,alt-rock,0.285,0.613,5,-6.412,1,0.0421,0.0185,0.1,0.114,0.0772,126.628,413347,4,2
Black Veil Brides,In The End,1RTYixE1DD3g3upEpmCJpa,68,2012,alt-rock,0.442,0.939,8,-4.18,1,0.0941,0.000183,0.00589,0.0857,0.27,140.021,228280,4,2
Thousand Foot Krutch,Courtesy Call,0AOmbw8AwDnwXhHC3OhdVB,71,2012,alt-rock,0.531,0.638,11,-5.145,0,0.0809,0.00409,0.0,0.0822,0.445,164.079,236898,4,2
Deftones,Entombed,4bLCPfBLKlqiONo6TALTh5,65,2012,alt-rock,0.399,0.753,10,-3.882,1,0.0375,0.00593,0.128,0.366,0.167,130.055,299240,4,2
Passion Pit,Take a Walk,4Sfa7hdVkqlM8UW5LsSY3F,65,2012,alt-rock,0.566,0.755,11,-5.526,1,0.0368,0.0338,0.0,0.315,0.445,101.006,264493,4,1
WALK THE MOON,Anna Sun,3e0yTP5trHBBVvV32jwXqF,61,2012,alt-rock,0.472,0.844,10,-6.578,1,0.054,0.00173,0.0,0.24,0.34,140.034,321280,4,2
Three Days Grace,Chalk Outline,0XGV1bem5W9ICY2rgleryV,61,2012,alt-rock,0.59,0.792,7,-5.013,1,0.0603,0.000567,0.0,0.0448,0.663,153.023,181987,4,1
Thousand Foot Krutch,War of Change,1qUHD9oPIMFHKpR12NY2KC,67,2012,alt-rock,0.531,0.887,5,-4.417,0,0.0329,0.00261,0.000512,0.0657,0.626,104.055,231665,4,1
Hollywood Undead,Another Way Out,7J8D1BVioYBaKFUnDAHTak,63,2012,alt-rock,0.563,0.946,9,-5.72,1,0.0548,0.000108,0.00512,0.118,0.652,149.966,167667,4,1
Stone Sour,Absolute Zero,14EORgkbXqIx5K4Haucmnb,64,2012,alt-rock,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,229840,4,1
Matthew West,"Hello, My Name Is",2XEdrmqNM9ZQQ24ViuceB0,58,2012,alt-rock,0.595,0.894,11,-4.115,1,0.0323,0.000583,1.24e-06,0.326,0.643,101.987,223427,4,1
My Darkest Days,Casual Sex,442YgzY4YBcE3UXFRrczJb,58,2012,alt-rock,0.671,0.922,11,-4.175,0,0.0463,0.00912,0.0,0.662,0.858,116.04,193573,4,1
My Darkest Days,Save Yourself,6FhB5ZyT4JsIJ0ozDlXCIp,61,2012,alt-rock,0.503,0.921,8,-5.907,0,0.106,0.00093,2.75e-06,0.26,0.359,121.983,221160,4,2
Matt Redman,"10,000 Reasons (Bless The Lord) [Radio Version] - Radio Version/Live",2MobJagQB0dGJoRqI8OT0m,63,2012,alt-rock,0.459,0.561,7,-7.091,1,0.0271,0.0839,0.0,0.0998,0.306,144.783,256933,4,2
Deftones,Swerve City,2OUR8g12h5qsGDs1v5lqvp,59,2012,alt-rock,0.457,0.964,10,-2.963,1,0.0656,0.0001,0.00811,0.67,0.372,111.972,164987,4,2
Thousand Foot Krutch,Be Somebody,33MnSYLvtOrbj5zwfioEiH,63,2012,alt-rock,0.457,0.669,6,-5.792,0,0.0288,0.0296,0.0,0.142,0.312,93.987,222436,4,2
León Larregui,Brillas,6OKmGZASRCmiKQKz4hCNrs,54,2012,alt-rock,0.628,0.462,9,-11.813,1,0.0354,0.341,0.000864,0.217,0.308,93.016,224827,4,1
TobyMac,Speak Life,7FO6QgfJRKtEwZiYO0dIO9,57,2012,alt-rock,0.65,0.888,9,-3.35,1,0.0515,0.137,0.0,0.0879,0.565,90.013,205080,4,1
3 Doors Down,Let Me Go,0nNVR2iDM3eVzEgMi78vQm,55,2012,alt-rock,0.48,0.863,1,-4.914,0,0.0385,0.0181,0.0,0.111,0.491,91.972,243053,4,1
The Neighbourhood,A Little Death,0Ot6e3wYVQQ1Us9PM977jE,64,2012,alt-rock,0.53,0.763,6,-4.712,0,0.0332,0.0026,1.86e-06,0.105,0.338,88.013,209707,4,1
Nine Lashes,Anthem Of The Lonely,1bKRtH1leT7y003VikaXUc,60,2012,alt-rock,0.348,0.972,10,-3.144,0,0.0951,0.000364,0.0,0.119,0.652,196.213,241720,4,2
Otherwise,Soldiers,1iWgFnhR0oW5Mup8yXDAPW,60,2012,alt-rock,0.592,0.877,2,-4.05,0,0.0502,0.0095,0.000171,0.131,0.712,117.106,241849,4,1
Thousand Foot Krutch,Let the Sparks Fly,1591zSWxS0xqHniiIDowDQ,58,2012,alt-rock,0.642,0.86,2,-4.888,1,0.0561,0.000608,0.0,0.306,0.625,120.059,246131,4,1
Deftones,Romantic Dreams,23ZfYXdy2deoaf4u1XObHZ,58,2012,alt-rock,0.152,0.959,6,-4.143,0,0.151,1.49e-05,4.83e-05,0.654,0.27,78.875,278107,3,2
Marcy Playground,Sex And Candy,3hAaCXvutknQugsPFogh8H,54,2012,alt-rock,0.55,0.702,11,-5.693,0,0.0281,0.046,1.4e-06,0.119,0.515,159.968,172486,4,2
The Shins,Simple Song,48bo7uexDvAThcRDvEB2W7,58,2012,alt-rock,0.546,0.878,7,-5.137,1,0.0525,0.0133,0.0,0.135,0.35,119.945,255400,4,2
Passion Pit,Carried Away,52a6VcF23v5HB7KfDEmBHq,56,2012,alt-rock,0.772,0.826,0,-5.135,1,0.0344,0.0176,8.56e-06,0.383,0.871,119.995,221973,4,1
Electric Guest,This Head I Hold,1tzPSule9WZ9B8SujHv8fp,54,2012,alt-rock,0.663,0.873,0,-4.915,1,0.0328,0.0268,0.0108,0.261,0.962,162.024,175773,4,1
Big Daddy Weave,Redeemed,7zuwaenG5AF0vG7o7kMduX,54,2012,alt-rock,0.329,0.509,11,-6.607,1,0.0333,0.374,0.0,0.12,0.227,127.119,276187,3,2
The Neighbourhood,Sweater Weather,4pGqFOfzvfe6avb9kbZicC,60,2012,alt-rock,0.695,0.615,7,-5.325,0,0.042,0.15,0.000212,0.0879,0.414,124.015,240040,4,1
Deftones,Tempest,1parffUcsk8pfGbyMtGnmW,56,2012,alt-rock,0.343,0.798,9,-5.962,0,0.0545,0.00148,0.000344,0.11,0.0549,147.769,365480,4,2
for KING & COUNTRY,The Proof of Your Love,5pNavG44Qct8Vm5vQDDxYF,53,2012,alt-rock,0.396,0.671,0,-6.953,0,0.0351,0.0984,0.0,0.0844,0.257,156.072,197320,4,2
Deftones,Leathers,0RLhtEt50QUwKXNwKI4dSJ,55,2012,alt-rock,0.28,0.861,10,-4.6,1,0.0647,5.61e-05,0.0977,0.0798,0.0597,157.904,248893,4,2
Deftones,Gauze,6ApFw0KmCRA0X0p2Vbqm0U,54,2012,alt-rock,0.321,0.926,0,-4.789,1,0.064,0.000107,0.0437,0.353,0.287,110.199,281400,4,2
The Vaccines,I Always Knew,6E3NosMXYlGD21K7KqIxQ1,56,2012,alt-rock,0.393,0.872,2,-2.53,1,0.0401,0.000122,0.000407,0.312,0.393,150.097,214347,4,2
Flyleaf,Call You Out,6MLiQIWMaTaaOB04R1VC0k,51,2012,alt-rock,0.361,0.903,7,-3.447,1,0.05,0.000869,0.000716,0.866,0.496,146.106,139440,4,2
Hollywood Undead,Lion,79CATxWpb9uezVeOIazKgs,57,2012,alt-rock,0.478,0.898,6,-5.603,1,0.106,0.00193,0.0,0.0703,0.536,168.953,234933,4,2
Rend Collective,Build Your Kingdom Here,0yqWOXyvDtC2ol1Idz8r8J,54,2012,alt-rock,0.456,0.508,2,-14.339,1,0.0402,0.0218,0.0,0.237,0.553,133.965,257960,4,2
TobyMac,Me Without You,3LEBulRQI5hHe2TUKKswUf,51,2012,alt-rock,0.775,0.785,7,-3.503,0,0.0411,0.00247,0.0,0.0669,0.963,130.027,214665,4,1
Three Days Grace,Misery Loves My Company,1We9y0dSphaMHt4owfGWpw,53,2012,alt-rock,0.516,0.872,8,-5.102,1,0.0402,0.00139,0.0,0.258,0.556,99.936,162293,4,1
Three Days Grace,The High Road,5M7y0vJBmG5TDmOIBN9run,53,2012,alt-rock,0.442,0.88,1,-4.187,0,0.0761,0.0424,0.0,0.153,0.4,142.733,193680,4,2
